Run,Fitness1,Solution1,Fitness2,Solution2
24,5514326.5,0049002700640057002600240051009100500053,1508017.0,0049003300420047001000690011009000400071
25,4.9119784E7,0048002700500056001700240049008000300045,2.4225326E7,0048005300290036002000150053001700100028
26,7.0236806E8,0041002600810053001100240048008400440061,3.27991744E8,0042006400870038002600550059004200390136
27,9.8358522E8,0061002700790057002000240049008200330048,4.42788832E8,0060006000830035001700230041003500170047
28,1.3529293E7,0049002600800054000400240052008800420046,5425745.5,0049004400890033004600380000007700300036
29,7.285465E8,0042002700720057000100240048008900440050,4.7135088E8,0040003000670049005000610070007700330056
0,6.9547288E7,0056002200370054002300470027004300270026,1.8903086E7,0052001900310021003200500010005300140032
1,3.4267492E7,0046005200750054002200420052004500550050,1.1914296E7,0048005800760021002900440056005400260056
2,1.7939546E7,0053003600590054001800420039005700420065,4388258.0,0051003700570023002200440032006400200071
3,274555.3,0053002700820054002100280038009100350073,5.5677728E7,0047001900750020001000290033009100030065
4,845206.94,0051004500380054001800280064007200160065,214597.48,0050005300230030002100290075007600060077
5,3.8795988E7,0054001500340054001700440048008900240062,1.0177758E7,0051000900270023001900460048009000120068
6,4.3456756E7,0055003900460054001800240028007200350042,1.148433E7,0052004100420023002100240013007600170048
7,1.19127784E8,0043003200490054001200340036006400460069,3.8830664E7,0047003100450024000900350027007000220075
8,2.5053482E7,0047003600260051003000380036007900320089,9756969.0,0049002200000000004700390033008400190069
9,2309685.8,0050002600760027002100240050009100170057,4755175.5,0051002400780026000200230022009200200071
10,2.673056E8,0039004100550053001600370047006100250091,9.7649616E7,0046003300530028001800370047007100190089
11,3.76784992E8,0063002100460054001500440030005300530114,1.44730416E8,0055002300430028001700440026006600260108
12,1390717.1,0051001200750054001800360021003500180016,462580.5,0050000400750029002200370002004700070009
13,3.54736576E8,0063003200620053001600230062004200170063,1.0222896E8,0055003200600019001600230074005200090069
14,3.8825744E8,0063002000760053001400180038008300500071,1.12126136E8,0055001500760020001300180030008500240076
15,4.78339392E8,0035002000670053002100210050003500110035,1.5002232E8,0044001600660020002800200051004600070040
16,5.6958816E8,0066001800590053001600340048006100290027,1.6574512E8,0056001400560020001800350048006700140033
17,1.77665664E8,0059003100800053001500310045008300130096,6.89656E7,0054002800820028001700310045008600170094
